time	V(p001)
	1.311009e+001	2.672820e+001
	1.371759e+001	2.683939e+001
	1.566509e+001	2.719572e+001
	1.667509e+001	2.737940e+001
	1.700366e+001	2.743889e+001
	1.733223e+001	2.749819e+001
	1.766080e+001	2.755730e+001
	1.798938e+001	2.761621e+001
	1.831795e+001	2.767493e+001
	1.864652e+001	2.773345e+001
	1.897509e+001	2.779178e+001
	1.963259e+001	2.790775e+001
	1.993402e+001	2.796060e+001
	2.023545e+001	2.801322e+001
	2.053688e+001	2.806563e+001
	2.083830e+001	2.811781e+001
	2.113973e+001	2.816976e+001
	2.144116e+001	2.822150e+001
	2.174259e+001	2.827301e+001
	2.261134e+001	2.842010e+001
	2.291705e+001	2.847139e+001
	2.322277e+001	2.852243e+001
	2.352848e+001	2.857320e+001
	2.383420e+001	2.862372e+001
	2.413991e+001	2.867399e+001
	2.444563e+001	2.872399e+001
	2.475134e+001	2.877374e+001
	2.561134e+001	2.891229e+001
	2.776884e+001	2.925077e+001
	2.856884e+001	2.937300e+001
	3.082759e+001	2.970872e+001
	3.154759e+001	2.981288e+001
	3.189152e+001	2.986216e+001
	3.223545e+001	2.991114e+001
	3.257938e+001	2.995982e+001
	3.292330e+001	3.000821e+001
	3.326723e+001	3.005629e+001
	3.361116e+001	3.010408e+001
	3.395509e+001	3.015158e+001
	3.450509e+001	3.022694e+001
	3.708009e+001	3.057035e+001
	3.742009e+001	3.061457e+001
	4.022697e+001	3.097027e+001
	4.035197e+001	3.098573e+001
	4.333072e+001	3.134546e+001
	4.620322e+001	3.167749e+001
	4.764634e+001	3.183927e+001
	4.911384e+001	3.200060e+001
	5.202884e+001	3.231220e+001
	5.492259e+001	3.261098e+001
	5.785447e+001	3.290415e+001
	5.897322e+001	3.301371e+001
	5.897540e+001	3.301393e+001
	5.897915e+001	3.301429e+001
	6.067790e+001	3.317840e+001
	6.346540e+001	3.344224e+001
	6.631665e+001	3.370576e+001
	6.918915e+001	3.396545e+001
	7.210415e+001	3.422367e+001
	7.497665e+001	3.447346e+001
	7.780665e+001	3.471550e+001
	8.059415e+001	3.495037e+001
	8.330697e+001	3.517591e+001
	8.330806e+001	3.517600e+001
	8.330915e+001	3.517609e+001
	8.331103e+001	3.517625e+001
	8.333853e+001	3.517852e+001
	8.546728e+001	3.535357e+001
	8.546947e+001	3.535374e+001
	8.547322e+001	3.535405e+001
	8.624697e+001	3.541729e+001
	8.907697e+001	3.564692e+001
	9.170697e+001	3.585816e+001
	9.170915e+001	3.585834e+001
	9.171290e+001	3.585863e+001
	9.185790e+001	3.587022e+001
	9.459634e+001	3.608805e+001
	9.751134e+001	3.631786e+001
	9.791009e+001	3.634914e+001
	9.791228e+001	3.634931e+001
	9.791353e+001	3.634941e+001
	9.913884e+001	3.644530e+001
	9.913947e+001	3.644535e+001
	9.914103e+001	3.644548e+001
	1.003004e+002	3.653592e+001
	1.010438e+002	3.659376e+001
	1.010445e+002	3.659381e+001
	1.010482e+002	3.659410e+001
	1.030726e+002	3.675104e+001
	1.050026e+002	3.689992e+001
	1.056920e+002	3.695293e+001
	1.057495e+002	3.695735e+001
	1.060604e+002	3.698123e+001
	1.071123e+002	3.706189e+001
	1.084492e+002	3.716412e+001
	1.109442e+002	3.735412e+001
	1.113217e+002	3.738278e+001
	1.125079e+002	3.747271e+001
	1.125101e+002	3.747287e+001
	1.125138e+002	3.747316e+001
	1.141238e+002	3.759486e+001
	1.170813e+002	3.781745e+001
	1.180201e+002	3.788785e+001
	1.180232e+002	3.788808e+001
	1.180320e+002	3.788874e+001
	1.198007e+002	3.802107e+001
	1.214177e+002	3.814169e+001
	1.214187e+002	3.814176e+001
	1.214202e+002	3.814188e+001
	1.214205e+002	3.814190e+001
	1.214208e+002	3.814192e+001
	1.214214e+002	3.814196e+001
	1.214227e+002	3.814206e+001
	1.214402e+002	3.814336e+001
	1.224977e+002	3.822206e+001
	1.226586e+002	3.823403e+001
	1.252999e+002	3.842997e+001
	1.255686e+002	3.844986e+001
	1.260270e+002	3.848377e+001
	1.279745e+002	3.862756e+001
	1.288530e+002	3.869228e+001
	1.288561e+002	3.869251e+001
	1.305399e+002	3.881633e+001
	1.307086e+002	3.882873e+001
	1.309386e+002	3.884561e+001
	1.309402e+002	3.884573e+001
	1.309420e+002	3.884586e+001
	1.309495e+002	3.884642e+001
	1.316886e+002	3.890064e+001
	1.316892e+002	3.890068e+001
	1.316980e+002	3.890133e+001
	1.332342e+002	3.901385e+001
	1.334617e+002	3.903049e+001
	1.343355e+002	3.909436e+001
	1.343377e+002	3.909452e+001
	1.343414e+002	3.909480e+001
	1.354283e+002	3.917414e+001
	1.361958e+002	3.923010e+001
	1.375370e+002	3.932775e+001
	1.376033e+002	3.933257e+001
	1.388770e+002	3.942514e+001
	1.402345e+002	3.952363e+001
	1.403620e+002	3.953287e+001
	1.403636e+002	3.953299e+001
	1.403647e+002	3.953307e+001
	1.403653e+002	3.953311e+001
	1.403741e+002	3.953374e+001
	1.416078e+002	3.962309e+001
	1.428953e+002	3.971618e+001
	1.433216e+002	3.974696e+001
	1.433225e+002	3.974703e+001
	1.433263e+002	3.974730e+001
	1.436325e+002	3.976941e+001
	1.436369e+002	3.976973e+001
	1.442544e+002	3.981428e+001
	1.443419e+002	3.982059e+001
	1.457019e+002	3.991858e+001
	1.457041e+002	3.991874e+001
	1.457078e+002	3.991901e+001
	1.461103e+002	3.994798e+001
	1.470166e+002	4.001315e+001
	1.480716e+002	4.008894e+001
	1.480784e+002	4.008943e+001
	1.497572e+002	4.020982e+001
	1.499488e+002	4.022355e+001
	1.499494e+002	4.022359e+001
	1.499531e+002	4.022386e+001
	1.505644e+002	4.026763e+001
	1.505666e+002	4.026778e+001
	1.505703e+002	4.026805e+001
	1.524400e+002	4.040173e+001
	1.536125e+002	4.048542e+001
	1.551806e+002	4.059716e+001
	1.553894e+002	4.061202e+001
	1.553909e+002	4.061213e+001
	1.553928e+002	4.061227e+001
	1.554003e+002	4.061280e+001
	1.566578e+002	4.070224e+001
	1.566600e+002	4.070240e+001
	1.566675e+002	4.070293e+001
	1.577213e+002	4.077778e+001
	1.604875e+002	4.097386e+001
	1.618025e+002	4.106686e+001
	1.632750e+002	4.117084e+001
	1.634838e+002	4.118557e+001
	1.634881e+002	4.118588e+001
	1.660369e+002	4.136543e+001
	1.666894e+002	4.141131e+001
	1.687606e+002	4.155675e+001
	1.698181e+002	4.163089e+001
	1.711794e+002	4.172619e+001
	1.715394e+002	4.175137e+001
	1.743569e+002	4.194812e+001
	1.749625e+002	4.199034e+001
	1.749636e+002	4.199041e+001
	1.749645e+002	4.199048e+001
	1.759445e+002	4.205873e+001
	1.769558e+002	4.212909e+001
	1.780183e+002	4.220294e+001
	1.785558e+002	4.224026e+001
	1.785580e+002	4.224042e+001
	1.785617e+002	4.224068e+001
	1.796305e+002	4.231483e+001
	1.802480e+002	4.235764e+001
	1.802495e+002	4.235775e+001
	1.802514e+002	4.235788e+001
	1.823902e+002	4.250594e+001
	1.830124e+002	4.254895e+001
	1.832799e+002	4.256743e+001
